Artigo:,Autor:,Página,Edição:,Categoria:,Componentes:,Notas:,Data:
Sistemas industriais de vídeo (2),,924,46,Instrumentação,,,
Medidas e normas em alta-fidelidade (3),,929,47,Instrumentação,,,
O funcionamento do toca-discos (4),,937,47,Instrumentação,,,
O efeito estroboscópico,,941,47,Noções Teóricas,,,
O microprocessador 8085 (1),,943,47,Instrumentação,,,
Indicador de tensão para bateria,,949,48,Montagem,,,
Gravação do som (3),,953,48,Instrumentação,,,
O funcionamento do toca-discos (5),,961,48,Instrumentação,,,
Caixas acústicas (4),,969,49,Instrumentação,,,
O gravador (1),,975,49,Instrumentação,,,
Sistemas industriais de vídeo (3),,983,49,Instrumentação,,,
Montagem de uma caixa acústica,,989,50,Montagem,,,
O gravador (2),,997,50,Instrumentação,,,
O microprocessador 8085 (2),,1005,50,Instrumentação,,,
O gravador (3),,1009,51,Instrumentação,,,
Sistemas industriais de vídeo (4),,1017,51,Instrumentação,,,
O microprocessador Z80,,1024,51,Instrumentação,,,
Voltímetro digital,,1029,52,Montagem,,,
O gravador (4),,1034,52,Instrumentação,,,
Sistemas industriais de vídeo (5),,1040,52,Instrumentação,,,
